datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea,gateau chocolat,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade,tiramisu,merinque cookies,,,,,,
7/11/2019,Thur,23800,,1,,,1,,,3,,,,,,,,,,,,,1,,,,,,,,,
7/11/2019,Thur,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
7/12/2019,Fri,58000,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
7/13/2019,Sat,14800,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
7/13/2019,Sat,15600,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/13/2019,Sat,15800,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
7/13/2019,Sat,15800,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
7/13/2019,Sat,14000,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,
7/13/2019,Sat,19100,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/13/2019,Sat,22300,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
7/14/2019,Sun,15300,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
7/14/2019,Sun,27600,,2,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,
7/14/2019,Sun,26300,,1,,,,,,2,2,,,,,,,,,,,,1,,,,,,,,,
7/14/2019,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,
7/14/2019,Sun,18300,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,
7/14/2019,Sun,15600,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/14/2019,Sun,23600,,2,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,
7/14/2019,Sun,20100,,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
7/14/2019,Sun,25600,,2,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,
7/14/2019,Sun,19800,,1,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,
7/15/2019,Mon,15100,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
7/15/2019,Mon,15800,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,
7/17/2019,Wed,17800,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/17/2019,Wed,14800,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
7/17/2019,Wed,23400,,1,,2,,,,,,,,,,,1,,,,1,,,,,,,,,,,
7/17/2019,Wed,18100,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7/19/2019,Fri,14800,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,
7/19/2019,Fri,15800,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
7/19/2019,Fri,21800,,1,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,
7/19/2019,Fri,20600,,2,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
7/19/2019,Fri,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
7/19/2019,Fri,15100,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7/19/2019,Fri,58000,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2019,Fri,35900,,3,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,15800,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
7/20/2019,Sat,18800,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,22800,,1,,1,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,
7/20/2019,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,15800,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,
7/20/2019,Sat,26300,,1,,,,,1,,,1,,,,,,,,,1,1,,,1,,,,,,,
7/20/2019,Sat,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,15800,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
7/20/2019,Sat,20500,,,,,,2,,1,,2,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,18600,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
7/20/2019,Sat,17800,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,
7/21/2019,Sun,18600,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,
7/21/2019,Sun,17300,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
7/21/2019,Sun,17800,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,
7/21/2019,Sun,14800,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
7/21/2019,Sun,16100,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
7/21/2019,Sun,21000,,,1,,,1,,1,,1,,,,,,,,,1,,,,,,,,,,,
7/21/2019,Sun,19300,,1,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,
7/21/2019,Sun,22300,,1,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,
7/21/2019,Sun,18300,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,
7/21/2019,Sun,15300,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2019,Sun,15100,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
7/22/2019,Mon,15600,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2019,Mon,19300,,1,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,
7/22/2019,Mon,18300,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
7/22/2019,Mon,18300,,1,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,
7/22/2019,Mon,16600,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
7/22/2019,Mon,14800,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
7/22/2019,Mon,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2019,Mon,19600,,1,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,
7/22/2019,Mon,18600,,1,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,
7/24/2019,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,27100,,2,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
7/24/2019,Wed,18800,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,25400,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
7/24/2019,Wed,26300,,1,2,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,
7/24/2019,Wed,16100,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,16100,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,Wed,15000,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,
7/25/2019,Thur,18600,,1,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,
7/25/2019,Thur,26800,,1,1,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,
7/25/2019,Thur,35000,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,
